Date;Last Crawling;SKU Name;Product Name;Url Product;Seller;Merchant;Stock;Item Condition;Filter;Flag;Bottom Price;Original Price;Discount;Selling Price;Discrepancy;Sales Quantity;Sales Revenue
Oct 22, 2022;Oct 22, 2022;TL WR840N;TP-LINK TL-WR840N 300Mbps Wireless Router TPLink Wifi Extender 2;https://tokopedia.com/kela-/tp-link-tl-wr840n-300mbps-wireless-router-tplink-wifi-extender-2;KELA_STORE;tokopedia;In Stock;baru;Above;Please Check;155000;273000;0;273000;0,017612903;0;0
Oct 22, 2022;Oct 22, 2022;TL WR840N;Router Wireless TP-Link TL-WR840N 300Mbps Wireless N Router Tp Link;https://tokopedia.com/belsa/router-wireless-tp-link-tl-wr840n-300mbps-wireless-n-router-tp-link;BELSA_SHOP;tokopedia;In Stock;baru;Above;Please Check;155000;223000;0;223000;0,014387097;0;0
Oct 22, 2022;Oct 22, 2022;TL WR840N;TP-LINK TL-WR840N 300MBps Wireless Router 2 Antenna;https://tokopedia.com/belsa/tp-link-tl-wr840n-300mbps-wireless-router-2-antenna;BELSA_SHOP;tokopedia;In Stock;baru;Above;Please Check;155000;231000;0;231000;0,014903226;0;0
Oct 22, 2022;Oct 22, 2022;TL WR840N;TP-Link TL-WR840N Wifi Router 300 mbps Wireless;https://tokopedia.com/kela-/tp-link-tl-wr840n-wifi-router-300-mbps-wireless;KELA_STORE;tokopedia;In Stock;baru;Above;Please Check;155000;236000;0;236000;0,015225806;0;0
Oct 22, 2022;Oct 22, 2022;TL WR840N;TP-LINK TL-WR840N Wireless Router N WR840N 300Mbps 2 antena;https://tokopedia.com/gavinstore-/tp-link-tl-wr840n-wireless-router-n-wr840n-300mbps-2-antena;Gavinstore-id;tokopedia;In Stock;baru;Above;Please Check;155000;228000;0;228000;0,014709677;0;0
Oct 22, 2022;Oct 22, 2022;TL WR840N;TP-Link TL-WR840N 300Mbps Wireles N Router;https://tokopedia.com/ccplace/tp-link-tl-wr840n-300mbps-wireles-n-router;ccplace shop;tokopedia;In Stock;baru;Above;Please Check;155000;275000;0;275000;0,017741935;0;0
Oct 22, 2022;Oct 22, 2022;TL WR840N;TP-LINK TL-WR840N 300MBps Wireless Router WR840N tplink 840n wifi 840;https://tokopedia.com/ccwinta/tp-link-tl-wr840n-300mbps-wireless-router-wr840n-tplink-840n-wifi-840;ccwinta shop;tokopedia;In Stock;baru;Above;Please Check;155000;288000;0;288000;0,018580645;0;0
Oct 22, 2022;Oct 22, 2022;TL WR840N;Router TP-LINK TL-WR840N - 300Mbps Wireless N Router;https://tokopedia.com/gavinstore-/router-tp-link-tl-wr840n-300mbps-wireless-n-router;Gavinstore-id;tokopedia;In Stock;baru;Above;Please Check;155000;243000;0;243000;0,015677419;0;0
Oct 22, 2022;Oct 22, 2022;TL WR840N;TL-WR840N TP-Link 300Mbps Router Wireless N Speed Original;https://tokopedia.com/sandrinastore1-1/tl-wr840n-tp-link-300mbps-router-wireless-n-speed-original;Sandrina_Store1;tokopedia;In Stock;baru;Above;Please Check;155000;300000;0;300000;0,019354839;0;0
Oct 22, 2022;Oct 22, 2022;TL WR840N;TP-Link TL-WR840N : Wireless Router 300Mbps ORIGINAL;https://tokopedia.com/gavinstore-/tp-link-tl-wr840n-wireless-router-300mbps-original;Gavinstore-id;tokopedia;In Stock;baru;Above;Please Check;155000;217000;0;217000;0,014;0;0
Oct 22, 2022;Oct 22, 2022;TL WR840N;PROMO TP-LINK TL-WR840N 300Mbps Wireless Router / Wifi Router TPLINK;https://tokopedia.com/brantaofficial/promo-tp-link-tl-wr840n-300mbps-wireless-router-wifi-router-tplink;Branta Official;tokopedia;In Stock;baru;Above;Please Check;155000;256000;0;256000;0,016516129;0;0
Oct 22, 2022;Oct 22, 2022;TL WR840N;PROMO TP-LINK TL-WR840N TL WR 840 N : TPLink 300Mbps Wireless N Router;https://tokopedia.com/brantaofficial/promo-tp-link-tl-wr840n-tl-wr-840-n-tplink-300mbps-wireless-n-router;Branta Official;tokopedia;In Stock;baru;Above;Please Check;155000;250000;0;250000;0,016129032;0;0
Oct 22, 2022;Oct 22, 2022;TL WR840N;TP-LINK TL-WR840N / TL WR 840 N : TPLink 300Mbps Wireless N Router;https://tokopedia.com/thanthan/tp-link-tl-wr840n-tl-wr-840-n-tplink-300mbps-wireless-n-router;THANTHAN_ACC57;tokopedia;In Stock;baru;Above;Please Check;155000;245000;0;245000;0,015806452;0;0
Oct 22, 2022;Oct 22, 2022;TL WR840N;TP-LINK TL-WR840N 300Mbps Wireless N Router (Antenna);https://tokopedia.com/ccwinta/tp-link-tl-wr840n-300mbps-wireless-n-router-antenna;ccwinta shop;tokopedia;In Stock;baru;Above;Please Check;155000;252000;0;252000;0,016258065;0;0
Oct 22, 2022;Oct 22, 2022;TL WR840N;TP-Link TL-WR840N N300 Wi-Fi Router, Access Point Range Extender WISP;https://tokopedia.com/kela-/tp-link-tl-wr840n-n300-wi-fi-router-access-point-range-extender-wisp;KELA_STORE;tokopedia;In Stock;baru;Above;Please Check;155000;378000;0;378000;0,024387097;0;0
Oct 22, 2022;Oct 22, 2022;TL WR840N;TP-LINK TL-WR840N : 300Mbps Wireless N Router Antenna tplink wr840n;https://tokopedia.com/ccwinta/tp-link-tl-wr840n-300mbps-wireless-n-router-antenna-tplink-wr840n;ccwinta shop;tokopedia;In Stock;baru;Above;Please Check;155000;225000;0;225000;0,014516129;0;0
Oct 22, 2022;Oct 22, 2022;TL WR840N;TP-Link TL-WR840N (V4.0) : 300Mbps TPLink WiFi Wireless N Router;https://tokopedia.com/boneshop9-1/tp-link-tl-wr840n-v4-0-300mbps-tplink-wifi-wireless-n-router;boneshop9;tokopedia;In Stock;baru;Above;Please Check;155000;377000;0;377000;0,024322581;0;0
Oct 22, 2022;Oct 22, 2022;TL WR840N;TP-LINK TL-WR 840N TL-WR840N 300MBps Wireless Router 2 Antenna;https://tokopedia.com/sandrinastore1-1/tp-link-tl-wr-840n-tl-wr840n-300mbps-wireless-router-2-antenna;Sandrina_Store1;tokopedia;In Stock;baru;Above;Please Check;155000;281000;0;281000;0,018129032;0;0
Oct 22, 2022;Oct 22, 2022;TL WR840N;DISKON TP-LINK 300Mbps Wireless N Router TL-WR840N TERBAIK;https://tokopedia.com/brantaofficial/diskon-tp-link-300mbps-wireless-n-router-tl-wr840n-terbaik;Branta Official;tokopedia;In Stock;baru;Above;Please Check;155000;272000;0;272000;0,017548387;0;0
Oct 22, 2022;Oct 22, 2022;TL WR840N;Gt Tp-Link Tl-Wr840N Antenna 300Mbps Wireless N Promo;https://tokopedia.com/jambuatah/gt-tp-link-tl-wr840n-antenna-300mbps-wireless-n-promo;jambuatah;tokopedia;In Stock;baru;Above;Please Check;155000;222000;0;222000;0,014322581;0;0
Oct 22, 2022;Oct 22, 2022;TL WR840N;Tp-Link Wireless N Router TL-WR840N 300Mbps;https://tokopedia.com/boneshop9-1/tp-link-wireless-n-router-tl-wr840n-300mbps;boneshop9;tokopedia;In Stock;baru;Above;Please Check;155000;386000;0;386000;0,024903226;0;0
Oct 22, 2022;Oct 22, 2022;TL WR840N;TP-LINK TL-WR840N 300Mbps Wireless N Router Best seller 300Mbps;https://tokopedia.com/ccbima/tp-link-tl-wr840n-300mbps-wireless-n-router-best-seller-300mbps;ccbima store;tokopedia;In Stock;baru;Above;Please Check;155000;493000;0;493000;0,031806452;0;0
Oct 22, 2022;Oct 22, 2022;TL WR840N;GG246 Tl-wr840n Tp-link 300mbps Wireless Router;https://tokopedia.com/axl1212/gg246-tl-wr840n-tp-link-300mbps-wireless-router;axl1212;tokopedia;In Stock;baru;Above;Please Check;155000;250000;0;250000;0,016129032;0;0
Oct 22, 2022;Oct 22, 2022;TL WR840N;TPLINK WR840N WIRELESS ROUTER TP-LINK TL-WR840N 300Mbps;https://tokopedia.com/gavinstore-/tplink-wr840n-wireless-router-tp-link-tl-wr840n-300mbps;Gavinstore-id;tokopedia;In Stock;baru;Above;Please Check;155000;222000;0;222000;0,014322581;0;0
Oct 22, 2022;Oct 22, 2022;TL WR840N;TP-LINK TL-WR840N 300Mbps Wireless N Router;https://tokopedia.com/boneshop9-1/tp-link-tl-wr840n-300mbps-wireless-n-router;boneshop9;tokopedia;In Stock;baru;Above;Please Check;155000;377000;0;377000;0,024322581;0;0
